index,features,importance_vals
16,age,0.5151174418558366
18,stage_ii,0.4118969647586346
17,stage_i,0.38418045461177824
1,μ_2,0.20118467028718443
4,μ_5,0.17682531914673746
7,μ_8,0.16973602012149058
0,μ_1,0.1676728436164558
8,μ_9,0.1625239117804449
9,μ_10,0.14248664984013884
12,μ_13,0.096412074
14,μ_15,0.084953261
3,μ_4,0.079936891
5,μ_6,0.062879594
13,μ_14,0.060923537
15,μ_16,0.05708554
11,μ_12,0.048609421
10,μ_11,0.047064229
6,μ_7,0.042728263
2,μ_3,0.040702379
19,race_white,0.023774226399837062
